userID	artistID	weight
1430	1097	108
822	267	2157
1335	13910	59
815	325	2977
1147	12657	142
2093	2893	153
656	5156	22
80	2215	3
1273	441	129
1340	2637	502
1947	2542	204
1047	11991	77
1484	11864	102
603	1700	252
1501	8277	1089
1530	245	351
451	292	691
50	1048	2689
1028	1246	267
1509	1673	318
576	3875	55
335	283	826
1078	9819	53
503	646	346
1036	11915	187
1915	17578	28
720	975	139
1525	681	111
780	167	41
329	220	1158
409	6590	31
57	1196	288
1615	2637	47
760	2983	2373
2064	10132	17
809	1452	164
814	321	3564
217	1206	106
541	1249	917
1832	1244	944
1993	56	10
354	349	16
1489	329	265
13	298	16
1236	547	881
1192	707	666
1577	915	347
1432	14522	1
1289	121	384
1706	2655	487
1754	1639	391
1660	15918	114
292	5299	289
1618	3289	96
2096	18303	487
767	5487	241
283	5180	123
1071	701	1017
1811	288	820
905	320	225
274	877	137
1699	499	88
661	9062	131
1581	5027	1180
529	3264	258
1046	1037	446
543	4600	468
314	176	535
1413	475	575
1426	14494	77
1527	5950	70
1499	15029	462
560	7	213
1164	6150	2862
432	816	211
1157	1711	502
1046	1054	88
1405	6915	394
45	1435	258
906	10964	1019
1883	986	882
888	63	494
1329	1160	164
670	546	783
806	25	254
46	1451	644
1474	2149	264
1363	1185	1683
2020	7660	228
443	6955	336
435	6844	1138
994	348	188
156	3469	6
1496	1089	181
854	8277	496
320	5663	280
529	1110	1415
1570	7283	312
2095	1126	85
1693	524	2
686	190	8762
1492	461	50
41	843	637
1495	14932	39
1017	299	583
757	9848	12
1516	1243	593
98	55	99
760	230	587
1941	830	285
295	706	518
475	1988	133
877	4803	293
1527	15195	99
118	1925	257
618	8636	64
2071	2023	105
1181	12974	450
1881	1444	236
1121	12444	26
571	292	455
1290	1687	2
49	1484	379
1479	8401	127
1871	295	165
349	3548	336
604	291	986
885	10823	191
587	785	765
762	1099	65
4	167	407
1619	806	390
1414	501	156
1879	154	257
1966	536	1064
172	230	517
1464	27	801
1694	16077	1337
2055	3432	148
1325	13884	343
743	2498	1984
1709	717	215
426	138	327
847	10598	118
1213	1084	174
645	5624	45
24	289	1192
293	585	59
1199	1414	1006
66	874	427
1579	1109	1591
1674	432	213
831	10176	2866
1242	959	513
393	1090	112
1707	1416	119
1032	2873	130
595	936	2767
1232	13350	58
1154	12743	480
56	1513	2279
193	63	961
1584	1190	36
116	2903	1184
1233	1001	1305
999	1110	145
598	498	288
1274	227	368
2028	2681	98
1653	233	704
31	1067	251
743	4437	1141
847	161	55
1692	707	230
72	320	18
1621	15625	63
1353	2850	377
1427	1001	1060
1994	13716	139
1649	10735	2610
337	5819	54
1832	1400	2462
1491	1978	401
471	197	87
1375	1244	122
939	11226	595
814	1043	232
1500	9162	1303
2093	959	99
1225	1249	24
733	324	64
1192	227	711
241	4691	1400
655	1613	3
1562	2346	248
2087	378	492
191	3019	18
196	436	711
1331	1755	985
843	3032	210
314	5591	172
385	191	15465
1620	10612	417
342	1048	103
1517	344	1068
440	1964	593
1287	1521	586
333	907	30
1545	969	191
1771	913	101
1517	329	2292
298	1390	207
1377	6771	770
1189	790	202
63	51	563
227	2806	141
1339	424	4233
1906	439	393
1018	834	444
1868	17272	1
516	1194	194
1034	230	104
874	1179	222
847	547	70
1503	3795	102
1833	2074	122
494	292	1396
1607	797	132
1313	3700	267
1545	187	314
1858	2343	128
546	7900	2170
1061	12061	159
1192	1985	516
249	493	613
573	8178	105
1850	295	292
140	3248	3376
1938	3341	1425
1633	889	1003
2088	516	5
723	333	247
887	6570	150
658	1983	168
1223	7650	915
1199	2424	366
898	332	221
1474	64	374
140	3250	1272
1020	951	305
661	8445	112
1942	17804	2488
1339	538	590
1864	17222	21
34	1168	180
1808	1470	946
1343	710	13
527	288	810
1156	72	4188
511	808	73
380	241	407
2044	445	208
55	1626	367
639	722	199
1957	3341	376
1002	72	431
2040	689	168
1273	7100	145
657	972	208
576	4723	73
689	2067	10
1463	14679	123
1067	4821	833
792	540	1555
1856	157	1212
538	2020	379
1596	5452	36
1073	12121	451
1025	511	288
435	3027	1851
473	300	257
313	3470	403
162	1034	174
711	1249	677
2075	51	166
268	5012	100
1037	583	6
1231	868	874
719	5172	129
172	7	249
1476	161	493
508	7560	51
1768	306	292
2075	154	141
995	333	48
452	72	142
714	487	155
1220	701	1240
1499	15015	551
551	3739	15
297	5411	593
2094	342	1343
2009	2524	148
284	2150	16
1701	1131	57
1135	302	47
871	2369	1602
1963	97	189
3	112	193
1842	907	367
1427	13451	567
735	932	301
684	3397	381
674	55	2954
1558	2657	15
557	181	813
449	7043	353
25	455	3009
1033	691	106
1726	538	131
1444	540	778
1490	14889	1984
81	2229	272
1469	1249	136
392	689	105
1963	7777	523
9	395	319
1896	5753	176
735	1369	109
487	793	9932
2004	6245	275
1016	1159	1019
347	2941	258
2095	17982	76
471	1369	133
1880	1114	256
1253	2080	314
1785	715	3551
1300	466	6381
823	7650	875
1102	535	258
1041	405	257
243	1824	781
1637	3617	1033
1825	808	130
698	1114	1568
1280	1231	350
605	8506	384
345	5922	129
1231	712	646
511	1400	25
1037	11885	5
428	51	61012
1729	1376	78
1663	318	261
999	3417	166
1064	710	38
790	8372	538
27	982	66
526	220	607
119	2966	271
704	4617	21
1600	5926	365
1477	14762	18
1355	602	144
1845	17009	160
793	10074	323
1788	481	164
1365	333	557
1144	12643	88
777	5257	124
1995	229	421
1551	1312	593
1516	3741	38
1935	500	848
1213	12552	45
297	1159	601
1061	8371	644
1599	2576	513
1355	3258	250
1572	349	861
43	603	156
604	265	2010
110	2804	767
1811	13164	353
1784	1241	371
757	1455	203
1613	15564	747
96	2563	14
1995	5698	2996
1302	3171	105
92	2506	8
808	546	528
884	915	183
2031	6374	1487
822	245	4000
518	378	45
333	679	55
921	3227	4491
560	1061	330
1592	4179	224
1807	4271	5
231	2939	161
1213	7810	24
333	2523	99
1784	1105	356
376	5157	108
1589	632	155
882	2502	226
1933	17699	129
2067	817	139
1196	965	1453
2087	89	1042
764	959	660
91	197	1859
996	11672	86
1583	445	438
1188	1106	1702
2023	306	64
1726	349	224
916	544	283
764	3302	1039
773	250	997
1194	858	1035
2027	18312	168
686	1098	1394
1775	230	49
83	2326	562
269	88	27
771	2923	189
1333	227	1013
1369	290	76
562	1934	338
2017	4029	268
533	7851	105
172	167	188
436	562	662
230	1047	345
919	5754	243
241	1239	659
1628	704	374
2084	982	361
1368	418	463
1617	15581	452
934	233	243
1304	793	200
321	918	60
537	344	42
2100	9783	793
770	6317	222
790	291	416
790	2395	359
768	7399	8
997	2574	451
168	1965	281
1581	11215	1049
1776	325	1000
669	289	1586
219	4437	976
720	234	26
1230	13336	6
46	349	1668
1950	59	412
251	4795	170
651	1098	342
1144	12637	116
110	295	1084
82	2285	146
84	918	152
253	542	925
806	89	1849
856	859	219
1346	536	749
1606	544	625
905	903	544
432	3398	137
428	1076	1787
107	2737	4383
2000	18123	8131
1233	3491	371
1399	4814	54
1918	1382	30
161	3087	1208
449	1535	103
1601	8369	808
572	8172	113
1316	734	310
1155	1398	137
365	6159	15
2055	18451	151
957	11391	267
583	8303	610
263	1705	371
1503	227	944
823	497	1048
1718	442	240
454	18737	560
451	344	1727
629	3391	408
201	4136	257
150	251	47
1309	1119	1867
184	506	428
183	2531	360
1856	17143	486
548	7926	39
637	1976	77
1057	300	152
496	30	205
1521	288	2976
852	686	122
1508	3116	726
1657	1098	361
184	930	211
1209	99	45
1863	498	199
393	605	170
1379	311	734
919	1745	441
1494	7073	16
1914	9709	296
1491	525	328
2022	6480	397
580	366	1206
90	511	100
1499	15014	552
583	492	2140
709	4458	349
1213	13197	30
1515	257	1352
206	735	45
1891	2193	98
845	607	25
2096	220	427
1012	5111	252
1446	907	171
1996	1448	295
1030	5666	481
1462	55	434
1680	15537	585
1425	2083	491
209	55	28
1226	1475	402
1909	289	20251
604	299	8339
1521	1470	2423
723	292	3643
932	1001	417
552	7949	15
401	2850	126
550	707	1002
1696	227	172
7	311	960
1725	5746	38
553	346	144
593	793	96
419	285	7
30	793	565
1233	13356	376
777	55	242
30	966	78
741	486	656
758	533	1204
1435	302	148
1197	326	716
765	444	419
458	1413	60
1663	3173	174
1292	13721	17
777	70	730
544	1046	249
1614	15573	638
200	706	182
1458	1444	33
1481	959	1066
1987	200	811
1572	6543	580
351	5977	102
1544	1188	206
1267	475	2144
2097	166	119
1010	1013	3
742	9718	138
488	1512	129
585	1515	551
1132	288	3532
904	71	334
734	3411	2017
1519	344	160
1197	1246	340
1243	614	351
581	7241	6140
1712	1812	481
